"filename", "language", "SCSS", "JSON", "JavaScript", "HTML", "Markdown", "XML", "comment", "blank", "total"
"g:\Xampp\htdocs\Huynen\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 1
"g:\Xampp\htdocs\Huynen\end.html", "HTML", 0, 0, 0, 33, 0, 0, 0, 5, 38
"g:\Xampp\htdocs\Huynen\images\circle-01.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"g:\Xampp\htdocs\Huynen\images\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"g:\Xampp\htdocs\Huynen\index.html", "HTML", 0, 0, 0, 62, 0, 0, 0, 8, 70
"g:\Xampp\htdocs\Huynen\js\cycle.js", "JavaScript", 0, 0, 66, 0, 0, 0, 13, 19, 98
"g:\Xampp\htdocs\Huynen\js\debug.js", "JavaScript", 0, 0, 85, 0, 0, 0, 8, 16, 109
"g:\Xampp\htdocs\Huynen\js\end.js", "JavaScript", 0, 0, 26, 0, 0, 0, 5, 8, 39
"g:\Xampp\htdocs\Huynen\js\functions.js", "JavaScript", 0, 0, 138, 0, 0, 0, 13, 27, 178
"g:\Xampp\htdocs\Huynen\js\gamemanager.js", "JavaScript", 0, 0, 118, 0, 0, 0, 25, 18, 161
"g:\Xampp\htdocs\Huynen\js\loader.js", "JavaScript", 0, 0, 153, 0, 0, 0, 17, 21, 191
"g:\Xampp\htdocs\Huynen\js\movement.js", "JavaScript", 0, 0, 79, 0, 0, 0, 10, 17, 106
"g:\Xampp\htdocs\Huynen\js\npc.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 13, 45
"g:\Xampp\htdocs\Huynen\js\scene_setup.js", "JavaScript", 0, 0, 70, 0, 0, 0, 17, 17, 104
"g:\Xampp\htdocs\Huynen\js\ui.js", "JavaScript", 0, 0, 319, 0, 0, 0, 49, 53, 421
"g:\Xampp\htdocs\Huynen\local_db\dialogue.json", "JSON", 0, 41, 0, 0, 0, 0, 0, 0, 41
"g:\Xampp\htdocs\Huynen\local_db\festivalList.json", "JSON", 0, 132, 0, 0, 0, 0, 0, 0, 132
"g:\Xampp\htdocs\Huynen\local_db\information.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 32
"g:\Xampp\htdocs\Huynen\local_db\model.json", "JSON", 0, 641, 0, 0, 0, 0, 0, 5, 646
"g:\Xampp\htdocs\Huynen\package-lock.json", "JSON", 0, 6494, 0, 0, 0, 0, 0, 1, 6495
"g:\Xampp\htdocs\Huynen\package.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 1, 25
"g:\Xampp\htdocs\Huynen\styles\main.scss", "SCSS", 413, 0, 0, 0, 0, 0, 4, 30, 447
"Total", "-", 413, 7364, 1086, 95, 1, 2, 161, 259, 9381
